,VEH_BODY_STYL_ID,PRSN_ETHNICITY_ID,body_eth_cnt,row
0,AMBULANCE,WHITE,832822146,1
1,BUS,HISPANIC,2388394701,1
2,FARM EQUIPMENT,WHITE,409458715,1
3,FIRE TRUCK,WHITE,971018049,1
4,MOTORCYCLE,WHITE,7547590828,1
5,NA,WHITE,4450940320,1
6,NEV-NEIGHBORHOOD ELECTRIC VEHICLE,WHITE,74835318,1
7,NOT REPORTED,WHITE,30458384,1
8,OTHER  (EXPLAIN IN NARRATIVE),WHITE,3272512126,1
9,"PASSENGER CAR, 2-DOOR",WHITE,71340404952,1
10,"PASSENGER CAR, 4-DOOR",WHITE,383560721884,1
11,PICKUP,WHITE,289352559575,1
12,POLICE CAR/TRUCK,WHITE,2755179665,1
13,POLICE MOTORCYCLE,WHITE,30288069,1
14,SPORT UTILITY VEHICLE,WHITE,234500476112,1
15,TRUCK,WHITE,27449828910,1
16,TRUCK TRACTOR,WHITE,38748131733,1
17,UNKNOWN,UNKNOWN,12768208074,1
18,VAN,WHITE,33457175261,1
19,YELLOW SCHOOL BUS,BLACK,1607143283,1
